"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2023"
"1100015";"Alta Floresta D'Oeste (RO)";"1046343"
"1100023";"Ariquemes (RO)";"4383815"
"1100031";"Cabixi (RO)";"300832"
"1100049";"Cacoal (RO)";"3848468"
"1100056";"Cerejeiras (RO)";"1006389"
"1100064";"Colorado do Oeste (RO)";"580899"
"1100072";"Corumbiara (RO)";"509566"
"1100080";"Costa Marques (RO)";"413943"
"1100098";"Espigão D'Oeste (RO)";"1023973"
"1100106";"Guajará-Mirim (RO)";"1145034"
"1100114";"Jaru (RO)";"2515558"
"1100122";"Ji-Paraná (RO)";"5824472"
"1100130";"Machadinho D'Oeste (RO)";"1055806"
"1100148";"Nova Brasilândia D'Oeste (RO)";"731952"
"1100155";"Ouro Preto do Oeste (RO)";"1275479"
"1100189";"Pimenta Bueno (RO)";"2124340"
"1100205";"Porto Velho (RO)";"25402193"
"1100254";"Presidente Médici (RO)";"776281"
"1100262";"Rio Crespo (RO)";"265160"
"1100288";"Rolim de Moura (RO)";"2287631"
"1100296";"Santa Luzia D'Oeste (RO)";"291887"
"1100304";"Vilhena (RO)";"5115785"
"1100320";"São Miguel do Guaporé (RO)";"1549192"
"1100338";"Nova Mamoré (RO)";"1060566"
"1100346";"Alvorada D'Oeste (RO)";"486626"
"1100379";"Alto Alegre dos Parecis (RO)";"575129"
"1100403";"Alto Paraíso (RO)";"667923"
"1100452";"Buritis (RO)";"1221008"
"1100502";"Novo Horizonte do Oeste (RO)";"331958"
"1100601";"Cacaulândia (RO)";"238989"
"1100700";"Campo Novo de Rondônia (RO)";"455251"
"1100809";"Candeias do Jamari (RO)";"1001610"
"1100908";"Castanheiras (RO)";"138594"
"1100924";"Chupinguaia (RO)";"673990"
"1100940";"Cujubim (RO)";"582148"
"1101005";"Governador Jorge Teixeira (RO)";"320123"
"1101104";"Itapuã do Oeste (RO)";"340162"
"1101203";"Ministro Andreazza (RO)";"440282"
"1101302";"Mirante da Serra (RO)";"380179"
"1101401";"Monte Negro (RO)";"526990"
"1101435";"Nova União (RO)";"193557"
"1101450";"Parecis (RO)";"201510"
"1101468";"Pimenteiras do Oeste (RO)";"355185"
"1101476";"Primavera de Rondônia (RO)";"131193"
"1101484";"São Felipe D'Oeste (RO)";"177906"
"1101492";"São Francisco do Guaporé (RO)";"716411"
"1101500";"Seringueiras (RO)";"446997"
"1101559";"Teixeirópolis (RO)";"156426"
"1101609";"Theobroma (RO)";"307754"
"1101708";"Urupá (RO)";"370214"
"1101757";"Vale do Anari (RO)";"257311"
"1101807";"Vale do Paraíso (RO)";"225187"
"1200013";"Acrelândia (AC)";"502663"
"1200054";"Assis Brasil (AC)";"187366"
"1200104";"Brasiléia (AC)";"929800"
"1200138";"Bujari (AC)";"365419"
"1200179";"Capixaba (AC)";"530657"
"1200203";"Cruzeiro do Sul (AC)";"2680143"
"1200252";"Epitaciolândia (AC)";"793427"
"1200302";"Feijó (AC)";"741344"
"1200328";"Jordão (AC)";"150648"
"1200336";"Mâncio Lima (AC)";"339224"
"1200344";"Manoel Urbano (AC)";"262614"
"1200351";"Marechal Thaumaturgo (AC)";"288045"
"1200385";"Plácido de Castro (AC)";"764818"
"1200393";"Porto Walter (AC)";"200512"
"1200401";"Rio Branco (AC)";"12960966"
"1200427";"Rodrigues Alves (AC)";"293645"
"1200435";"Santa Rosa do Purus (AC)";"124070"
