municipio,ano_mes,passageiros
ALEGRETE,2021-08,43.0
ALEGRETE,2021-09,51.0
ALEGRETE,2021-10,62.0
ALEGRETE,2021-11,84.0
ALEGRETE,2021-12,73.0
ALEGRETE,2022-01,51.0
ALEGRETE,2022-02,70.0
ALEGRETE,2022-03,64.0
ALEGRETE,2022-04,41.0
ALEGRETE,2022-05,15.0
ALEGRETE,2022-06,16.0
ALEGRETE,2022-07,44.0
ALEGRETE,2022-08,25.0
ALEGRETE,2022-09,26.0
ALEGRETE,2022-10,15.0
ALEGRETE,2022-11,3.0
ALEGRETE,2022-12,10.0
ALEGRETE,2023-01,11.0
ALEGRETE,2023-02,6.0
ALEGRETE,2023-03,6.0
ALEGRETE,2023-04,24.0
ALEGRETE,2023-05,29.0
ALEGRETE,2023-06,38.0
ALEGRETE,2023-07,44.0
ALEGRETE,2023-08,76.0
ALEGRETE,2023-09,16.0
ALEGRETE,2023-10,51.0
ALEGRETE,2023-11,36.0
ALEGRETE,2023-12,49.0
ALEGRETE,2024-01,33.0
ALEGRETE,2024-02,47.0
ALEGRETE,2024-03,30.0
ALEGRETE,2024-04,12.0
ALENQUER,2021-02,17.0
ALENQUER,2021-03,2.0
ALMEIRIM,2021-01,195.0
ALMEIRIM,2021-02,171.0
ALMEIRIM,2021-03,157.0
ALMEIRIM,2021-04,199.0
ALMEIRIM,2021-05,230.0
ALMEIRIM,2021-06,183.0
ALMEIRIM,2021-07,251.0
ALMEIRIM,2021-08,205.0
ALMEIRIM,2021-09,204.0
ALMEIRIM,2021-10,227.0
ALMEIRIM,2021-11,211.0
ALMEIRIM,2021-12,200.0
ALMEIRIM,2022-01,161.0
ALMEIRIM,2022-02,135.0
ALMEIRIM,2022-03,146.0
ALMEIRIM,2022-04,151.0
ALMEIRIM,2022-05,121.0
ALMEIRIM,2022-06,153.0
ALMEIRIM,2022-07,142.0
ALMEIRIM,2022-08,142.0
ALMEIRIM,2022-09,104.0
ALMEIRIM,2022-10,78.0
ALMEIRIM,2022-11,58.0
ALMEIRIM,2022-12,45.0
ALMEIRIM,2023-01,55.0
ALMEIRIM,2023-02,36.0
ALMEIRIM,2023-03,42.0
ALMEIRIM,2023-04,53.0
ALMEIRIM,2023-05,50.0
ALMEIRIM,2023-06,54.0
ALMEIRIM,2023-07,71.0
ALMEIRIM,2023-08,57.0
ALMEIRIM,2023-09,51.0
ALMEIRIM,2023-10,61.0
ALMEIRIM,2023-11,63.0
ALMEIRIM,2023-12,43.0
ALMEIRIM,2024-01,47.0
ALMEIRIM,2024-02,45.0
ALMEIRIM,2024-03,33.0
ALMEIRIM,2024-04,28.0
ALMEIRIM,2024-05,51.0
ALMEIRIM,2024-06,46.0
ALMEIRIM,2024-07,60.0
ALMEIRIM,2024-08,47.0
ALMEIRIM,2024-09,53.0
ALMEIRIM,2024-10,40.0
ALMEIRIM,2024-11,57.0
ALMEIRIM,2024-12,65.0
ALMEIRIM,2025-01,62.0
ALMEIRIM,2025-02,49.0
ALMEIRIM,2025-03,37.0
ALMEIRIM,2025-04,24.0
ALMEIRIM,2025-05,36.0
ALMEIRIM,2025-06,33.0
ALMEIRIM,2025-07,62.0
ALMEIRIM,2025-08,50.0
ALMEIRIM,2025-09,40.0
ALMEIRIM,2025-10,45.0
ALMEIRIM,2025-11,24.0
ALMEIRIM,2025-12,20.0
ALTA FLORESTA,2021-01,2537.0
ALTA FLORESTA,2021-02,1385.0
ALTA FLORESTA,2021-03,1131.0
ALTA FLORESTA,2021-04,938.0
ALTA FLORESTA,2021-05,1434.0
ALTA FLORESTA,2021-06,1838.0
ALTA FLORESTA,2021-07,2217.0
ALTA FLORESTA,2021-08,2986.0
ALTA FLORESTA,2021-09,2662.0
ALTA FLORESTA,2021-10,2837.0
ALTA FLORESTA,2021-11,2852.0
ALTA FLORESTA,2021-12,2701.0
